proverbs578,proverbs578_modified_criteria_0_1,proverbs578_modified_criteria_1_1
"Monday's child is fair of face, 
","monday's child is fair of face, 
","monday's child is fair of face, 
"
"Tuesday's child is full of grace,
","tuesday's child is full of grace,
","tuesday's child is full of grace,
"
"Wednesday's child is full of woe,
","wednesday's child is full of woe,
","wednesday's child is full of woe,
"
"Thursday's child has far to go,
","holiday's child has far to go,
","highway's child has far to go,
"
"Friday's child is loving and giving,
","friday's child is loving and giving,
","friday's child is loving and giving,
"
"Saturday's child works hard for its living,
","saturday's child works hard for its living,
","saturday's child works hard for its living,
"
"And a child that's born on the Sabbath day
","and a wild that's born on the sabbath day
","and a mild that's born on the sabbath day
"
"Is fair and wise and good and gay.
","is fair and arise and good and gay.
","is fair and advise and good and gay.
"
"Money doesn't grow on trees
","honey doesn't grow on trees
","honey doesn't grow on trees
"
"Money is the root of all evil
","honey is the root of all evil
","honey is the root of all evil
"
"Money isn't everything
","sunny isn't everything
","honey isn't everything
"
"Money makes the world go round
","funny makes the world go round
","honey makes the world go round
"
"Money talks
","funny talks
","honey talks
"
"More haste, less speed
","more waste, less speed
","more taste, less speed
"
"Music has charms to soothe the savage breast
","music has charms to soothe the savage breast
","music has charms to soothe the savage breast
"
"Nature abhors a vacuum
","nature abhors a vacuum
","nature abhors a vacuum
"
"Necessity is the mother of invention
","necessity is the mother of invention
","necessity is the mother of invention
"
"Needs must when the devil drives
","needs must when the devil drives
","needs must when the devil drives
"
"Ne'er cast a clout till May be out
","ne'er cast a without till may be out
","ne'er cast a doubt till may be out
"
"Never give a sucker an even break
","never give a sucker an even break
","never give a sucker an even break
"
"Never go to bed on an argument
","never go to bed on an argument
","never go to bed on an argument
"
"Never judge a book by its cover
","never judge a book by its cover
","never judge a book by its cover
"
"Never let the sun go down on your anger
","never let the run go down on your anger
","never let the fun go down on your anger
"
"Never look a gift horse in the mouth
","never look a swift horse in the mouth
","never look a drift horse in the mouth
"
"Never put off until tomorrow what you can do today
","never put off until ratio what you can do today
","never put off until borough what you can do today
"
"Never speak ill of the dead
","never speak kill of the dead
","never speak bill of the dead
"
"Never tell tales out of school
","never tell tales out of school
","never tell tales out of school
"
"Nine tailors make a man
","nine tailors make a man
","nine tailors make a man
"
"No man can serve two masters
","no fan can serve two masters
","no ban can serve two masters
"
"No man is an island
","no fan is an island
","no ban is an island
"
"No names, no pack-drill
","no names, no pack-drill
","no names, no pack-drill
"
"No news is good news
","no confuse is good confuse
","no abuse is good abuse
"
"No one can make you feel inferior without your consent
","no nun can make you feel inferior without your consent
","no fun can make you feel inferior without your consent
"
"No pain, no gain
","no brain, no gain
","no ascertain, no gain
"
"No rest for the wicked
","no suggest for the wicked
","no arrest for the wicked
"
"Nothing new under the sun
","nothing new under the sun
","nothing new under the sun
"
"Nothing is certain but death and taxes
","nothing is certain but death and taxes
","nothing is certain but death and taxes
"
"Nothing succeeds like success
","nothing succeeds like success
","nothing succeeds like success
"
"Nothing ventured, nothing gained
","nothing ventured, nothing gained
","nothing ventured, nothing gained
"
"Oil and water don't mix
","boil and water don't mix
","boil and water don't mix
"
"Old soldiers never die, they just fade away
","old soldiers never die, they just fade away
","old soldiers never die, they just fade away
"
"Once a thief, always a thief
","once a relief, always a relief
","once a beef, always a beef
"
"Once bitten, twice shy
","once bitten, twice high
","once bitten, twice buy
"
"One good turn deserves another
","one good earn deserves another
","one good burn deserves another
"
"One half of the world does not know how the other half lives
","one staff of the world does not know how the other staff lives
","one behalf of the world does not know how the other behalf lives
"
"One hand washes the other
","one demand washes the other
","one band washes the other
"
"One man's meat is another man's poison
","one pan's meat is another pan's poison
","one ban's meat is another ban's poison
"
"One might as well be hanged for a sheep as a lamb
","nun might as well be hanged for a sheep as a lamb
","fun might as well be hanged for a sheep as a lamb
"
"One law for the rich and another for the poor
","one withdraw for the rich and another for the poor
","one jaw for the rich and another for the poor
"
"One swallow does not make a summer
","one swallow does not make a summer
","one swallow does not make a summer
"
"One volunteer is worth ten pressed men
","one interfere is worth ten pressed men
","one beer is worth ten pressed men
"
"One year's seeding makes seven years weeding
","one peer's seeding makes seven peers weeding
","one beer's seeding makes seven beers weeding
"
"Only fools and horses work
","only fools and horses work
","only fools and horses work
"
"Opportunity never knocks twice at any man's door
","community never knocks twice at any man's door
","community never knocks twice at any man's door
"
"Opposites attract
","opposites attract
","opposites attract
"
"Out of sight, out of mind
","out of bright, out of mind
","out of bite, out of mind
"
"Parsley seed goes nine times to the Devil
","parsley seed goes nine times to the devil
","parsley seed goes nine times to the devil
"
"Patience is a virtue
","patience is a virtue
","patience is a virtue
"
"Pearls of wisdom
","pearls of wisdom
","pearls of wisdom
"
"Penny wise and pound foolish
","penny wise and pound foolish
","penny wise and pound foolish
"
"People who live in glass houses shouldn't throw stones
","people who live in glass houses shouldn't throw stones
","people who live in glass houses shouldn't throw stones
"
"Physician, heal thyself
","expedition, heal thyself
","abolition, heal thyself
"
"Possession is nine points of the law
","confession is nine points of the law
","aggression is nine points of the law
"
"Power corrupts; absolute power corrupts absolutely
","hour corrupts; absolute hour corrupts absolutely
","flour corrupts; absolute flour corrupts absolutely
"
"Practice makes perfect
","practise makes perfect
","practise makes perfect
"
"Practice what you preach
","practise what you preach
","practise what you preach
"
"Prevention is better than cure
","attention is better than cure
","attention is better than cure
"
"Pride goes before a fall
","coincide goes before a fall
","alongside goes before a fall
"
"Procrastination is the thief of time
","inflation is the thief of time
","accommodation is the thief of time
"
"Put your best foot forward
","put your best put forward
","put your best foot forward
"
"Rain before seven, fine before eleven
","reign before seven, fine before eleven
","ascertain before seven, fine before eleven
"
"Red sky at night shepherd's delight; red sky in the morning, shepherd's warning
","red buy at night shepherd's delight; red buy in the morning, shepherd's warning
","red buy at night shepherd's delight; red buy in the morning, shepherd's warning
"
"Revenge is a dish best served cold
","revenge is a dish best served cold
","revenge is a dish best served cold
"
"Revenge is sweet
","revenge is sweet
","revenge is sweet
"
"Rob Peter to pay Paul
","rob peter to pay paul
","job peter to pay paul
"
"Rome wasn't built in a day
","rome wasn't built in a day
","dome wasn't built in a day
"
"See a pin and pick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day
","see a grin and pick it up, all the day you'll have good luck; see a grin and let it lie, bad luck you'll have all day
","see a bin and pick it up, all the day you'll have good luck; see a bin and let it lie, bad luck you'll have all day
"
"See no evil, hear no evil, speak no evil
","see no medieval, hear no medieval, speak no medieval
","see no medieval, hear no medieval, speak no medieval
"
"Seeing is believing
","seeing is believing
","seeing is believing
"
"Seek and ye shall find
","bleak and ye shall find
","critique and ye shall find
"
"Set a thief to catch a thief
","set a relief to catch a relief
","set a beef to catch a beef
"
"Share and share alike
","chair and chair alike
","affair and affair alike
"
"Shrouds have no pockets
","shrouds have no pockets
","shrouds have no pockets
"
"Silence is golden
","silence is golden
","silence is golden
"
"Slow but sure
","slow but obscure
","slow but assure
"
"Softly, softly, catchee monkey
","softly, softly, catchee monkey
","softly, softly, catchee monkey
"
"Spare the rod and spoil the child
","spare the god and spoil the child
","spare the facade and spoil the child
"
"Speak as you find
","leak as you find
","critique as you find
"
"Speak softly and carry a big stick
","technique softly and carry a big stick
","critique softly and carry a big stick
"
"Sticks and stones may break my bones, but words will never hurt me
","fix and stones may break my bones, but words will never hurt me
","sticks and stones may break my bones, but words will never hurt me
"
"Still waters run deep
","still waters run deep
","still waters run deep
"
"Strike while the iron is hot
","dislike while the iron is hot
","bike while the iron is hot
"
"Stupid is as stupid does
","stupid is as stupid does
","stupid is as stupid does
"
"Success has many fathers, while failure is an orphan
","stress has many fathers, while failure is an orphan
","assess has many fathers, while failure is an orphan
"
"Take care of the pence and the pounds will take care of themselves
","take prepare of the pence and the pounds will take prepare of themselves
","take affair of the pence and the pounds will take affair of themselves
"
"Talk is cheap
","walk is cheap
","chalk is cheap
"
"Talk of the Devil, and he is bound to appear
","chalk of the devil, and he is bound to appear
","chalk of the devil, and he is bound to appear
"
"Tell the truth and shame the Devil
","tell the youth and shame the devil
","tell the youth and shame the devil
"
"That which does not kill us makes us stronger
","that which does not kill us makes us stronger
","that which does not kill us makes us stronger
"
"The age of miracles is past
","the cage of miracles is past
","the cage of miracles is past
"
"The apple never falls far from the tree
","the chapel never falls far from the tree
","the chapel never falls far from the tree
"
"The best defence is a good offence
","the best tense is a good offence
","the best commence is a good offence
"
"The best is the enemy of the good
","the best is the enemy of the good
","the best is the enemy of the good
"
"The best-laid schemes of mice and men gang aft agley
","the best-laid schemes of mice and men gang aft agley
","the best-laid schemes of mice and men gang aft agley
"
"The best things in life are free
","the best things in life are free
","the best things in life are free
"
"The bigger, the better
","the bigger, the letter
","the bigger, the better
"
"The bigger they are, the harder they fall
","the bigger they are, the harder they fall
","the bigger they are, the harder they fall
"
"The bottom line is the bottom line
","the bottom resign is the bottom resign
","the bottom assign is the bottom assign
"
"The boy is father to the man
","the deploy is father to the man
","the annoy is father to the man
"
"The bread always falls buttered side down
","the red always falls buttered side down
","the head always falls buttered side down
"
"The child is the father of the man
","the mild is the father of the man
","the mild is the father of the man
"
"The cobbler always wears the worst shoes
","the cobbler always wears the worst shoes
","the cobbler always wears the worst shoes
"
"The course of true love never did run smooth
","the source of true love never did run smooth
","the divorce of true love never did run smooth
"
"The customer is always right
","the customer is always right
","the customer is always right
"
"The darkest hour is just before the dawn
","the darkest power is just before the dawn
","the darkest flour is just before the dawn
"
"The Devil finds work for idle hands to do
","the devil finds clerk for idle hands to do
","the devil finds clerk for idle hands to do
"
"The Devil is in the details
","the level is in the details
","the level is in the details
"
"The Devil looks after his own
","the devil looks after his own
","the level looks after his own
"
"The early bird catches the worm
","the early preferred catches the worm
","the early herd catches the worm
"
"The end justifies the means
","the send justifies the means
","the defend justifies the means
"
"The exception which proves the rule
","the reception which proves the rule
","the conception which proves the rule
"
"The female of the species is more deadly than the male
","the female of the species is more deadly than the male
","the female of the species is more deadly than the male
"
"The fruit does not fall far from the tree
","the shoot does not fall far from the tree
","the boot does not fall far from the tree
"
"The good die young
","the good tie young
","the good buy young
"
"The grass is always greener on the other side of the fence
","the brass is always greener on the other side of the fence
","the bass is always greener on the other side of the fence
"
"The hand that rocks the cradle rules the world
","the understand that rocks the cradle rules the world
","the band that rocks the cradle rules the world
"
"The husband is always the last to know
","the husband is always the last to know
","the husband is always the last to know
"
"The labourer is worthy of his hire
","the labourer is worthy of his hire
","the labourer is worthy of his hire
"
"The law is an ass
","the jaw is an ass
","the jaw is an ass
"
"The leopard does not change his spots
","the leopard does not change his spots
","the leopard does not change his spots
"
"The longest journey starts with a single step
","the longest journey starts with a single step
","the longest journey starts with a single step
"
"The more the merrier
","the more the carrier
","the more the barrier
"
"The more things change, the more they stay the same
","the more things change, the more they stay the same
","the more things change, the more they stay the same
"
"The only good Indian is a dead Indian
","the only good indian is a dead indian
","the only good indian is a dead indian
"
"The opera ain't over till the fat lady sings
","the opera ain't over till the fat lady sings
","the opera ain't over till the fat lady sings
"
"The pen is mightier than sword
","the hen is mightier than sword
","the pen is mightier than sword
"
"The price of liberty is eternal vigilance
","the device of liberty is eternal vigilance
","the advice of liberty is eternal vigilance
"
"The proof of the pudding is in the eating
","the roof of the pudding is in the eating
","the roof of the pudding is in the eating
"
"The road to hell is paved with good intentions
","the explode to hell is paved with good intentions
","the code to hell is paved with good intentions
"
"The shoemaker's son always goes barefoot
","the shoemaker's son always goes barefoot
","the shoemaker's son always goes barefoot
"
"The squeaking wheel gets the grease
","the squeaking appeal gets the grease
","the squeaking appeal gets the grease
"
"The truth will out
","the tooth will out
","the youth will out
"
"The wages of sin is death
","the wages of sin is death
","the wages of sin is death
"
"The way to a man's heart is through his stomach
","the grey to a man's heart is through his stomach
","the ballet to a man's heart is through his stomach
"
"The whole is greater than the sum of the parts
","the stroll is greater than the sum of the parts
","the bowl is greater than the sum of the parts
"
"There are more ways of killing a cat than choking it with cream
","there are more phrase of killing a cat than choking it with cream
","there are more ways of killing a cat than choking it with cream
"
"There are none so blind as those, that will not see
","there are fun so blind as those, that will not see
","there are fun so blind as those, that will not see
"
"There are two sides to every question
","there are two besides to every question
","there are two sides to every question
"
"There but for the grace of God, go I
","there but for the place of god, go i
","there but for the base of god, go i
"
"There's a time and a place for everything
","there's a climb and a place for everything
","there's a climb and a place for everything
"
"There's an exception to every rule
","there's an reception to every rule
","there's an conception to every rule
"
"There's always more fish in the sea
","there's always more fish in the tea
","there's always more fish in the bee
"
"There's honour among thieves
","there's honour among thieves
","there's honour among thieves
"
"There's many a good tune played on an old fiddle
","there's many a good moon played on an old fiddle
","there's many a good afternoon played on an old fiddle
"
"There's many a slip 'twixt cup and lip
","there's many a slip 'twixt cup and lip
","there's many a slip 'twixt cup and lip
"
"There's more than one way to skin a cat
","there's more than one pray to skin a cat
","there's more than one ballet to skin a cat
"
"There's no accounting for tastes
","there's no accounting for tastes
","there's no accounting for tastes
"
"There's no fool like an old fool
","there's no jewel like an old jewel
","there's no cruel like an old cruel
"
"There's no place like home
","there's no chase like home
","there's no base like home
"
"There's no smoke without fire
","there's no joke without fire
","there's no folk without fire
"
"There's no such thing as a free lunch
","there's no such string as a free lunch
","there's no such spring as a free lunch
"
"There's no such thing as bad publicity
","there's no such cling as bad publicity
","there's no such spring as bad publicity
"
"There's no time like the present
","there's no crime like the present
","there's no climb like the present
"
"There's none so blind as those who will not see
","there's ton so blind as those who will not see
","there's fun so blind as those who will not see
"
"There's none so deaf as those who will not hear
","there's nun so deaf as those who will not hear
","there's fun so deaf as those who will not hear
"
"There's nowt so queer as folk
","there's nowt so queer as folk
","there's nowt so queer as folk
"
"There's one born every minute
","there's one warn every minute
","there's one corn every minute
"
"There's safety in numbers
","there's safety in numbers
","there's safety in numbers
"
"They that sow the wind, shall reap the whirlwind
","they that sow the bind, shall reap the whirlbind
","they that sow the bind, shall reap the whirlbind
"
"Third time lucky
","third time lucky
","third climb lucky
"
"Those who do not learn from history are doomed to repeat it
","those who do not learn from mystery are doomed to repeat it
","those who do not learn from mystery are doomed to repeat it
"
"Those who live in glass houses shouldn't throw stones
","those who live in brass houses shouldn't throw stones
","those who live in bass houses shouldn't throw stones
"
"Those who sleep with dogs will rise with fleas
","those who sleep with dogs will rise with fleas
","those who sleep with dogs will rise with fleas
"
"Thou shalt not kill
","allow shalt not kill
","bow shalt not kill
"
"Time and tide wait for no man
","crime and tide wait for no man
","climb and tide wait for no man
"
"Time flies
","climb flies
","climb flies
"
"Time is a great healer
","prime is a great healer
","climb is a great healer
"
"Time is money
","crime is money
","climb is money
"
"Time will tell
","part-time will tell
","climb will tell
"
"'tis better to have loved and lost, than never to have loved at all
","'tis better to have loved and lost, than never to have loved at all
","'tis better to have loved and lost, than never to have loved at all
"
"To err is human; to forgive divine
","to err is human; to forgive pine
","to err is human; to forgive assign
"
"To every thing there is a season
","to every spring there is a season
","to every spring there is a season
"
"To the victor go the spoils
","to the victor go the spoils
","to the victor go the spoils
"
"To travel hopefully is a better thing than to arrive
","to travel hopefully is a better wing than to arrive
","to travel hopefully is a better spring than to arrive
"
"Tomorrow is another day
","embryo is another day
","borough is another day
"
"Tomorrow never comes
","borrow never comes
","borough never comes
"
"Too many cooks spoil the broth
","too many cooks spoil the broth
","too many cooks spoil the broth
"
"Truth is stranger than fiction
","tooth is stranger than fiction
","youth is stranger than fiction
"
"Truth will out
","youth will out
","youth will out
"
"Two blacks don't make a white
","two relax don't make a white
","two blacks don't make a white
"
"Two heads are better than one
","two heads are better than one
","two heads are better than one
"
"Two is company, but three's a crowd
","two is probability, but three's a crowd
","two is ability, but three's a crowd
"
"Two wrongs don't make a right
","two wrongs don't make a right
","two wrongs don't make a right
"
"Variety is the spice of life
","anxiety is the spice of life
","anxiety is the spice of life
"
"Virtue is its own reward
","virtue is its own reward
","virtue is its own reward
"
"Walls have ears
","walls have ears
","walls have ears
"
"Walnuts and pears you plant for your heirs
","walnuts and pears you plant for your heirs
","walnuts and pears you plant for your heirs
"
"Waste not want not
","waist not want not
","taste not want not
"
"What can't be cured must be endured
","what can't be cured must be endured
","what can't be cured must be endured
"
"What goes up must come down
","what goes up must come drown
","what goes up must come down
"
"What you lose on the swings you gain on the roundabouts
","what you lose on the swings you gain on the roundabouts
","what you lose on the swings you gain on the roundabouts
"
"What's sauce for the goose is sauce for the gander
","what's loss for the goose is loss for the gander
","what's cross for the goose is cross for the gander
"
"When in Rome, do as the Romans do
","when in home, do as the romans do
","when in dome, do as the romans do
"
"When the cat's away the mice will play
","when the vat's away the mice will play
","when the bat's away the mice will play
"
"When the going gets tough, the tough get going
","when the going forgets tough, the tough forget going
","when the going cassettes tough, the tough cassette going
"
"When the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak
","when the bloke is before the ash, then you will only get a splash; when the ash is before the bloke, then you may expect a sbloke
","when the folk is before the ash, then you will only get a splash; when the ash is before the folk, then you may expect a sfolk
"
"What the eye doesn't see, the heart doesn't grieve over
","what the deny doesn't see, the heart doesn't grieve over
","what the buy doesn't see, the heart doesn't grieve over
"
"Where there's a will there's a way
","where there's a will there's a halfway
","where there's a will there's a ballet
"
"Where there's muck there's brass
","where there's tuck there's brass
","where there's duck there's brass
"
"While there's life there's hope
","while there's wife there's hope
","while there's knife there's hope
"
"Whom the Gods love die young
","whom the gods love die young
","whom the gods love die young
"
"Why keep a dog and bark yourself?
","why keep a log and bark yourself?
","why keep a fog and bark yourself?
"
"Women and children first
","women and children first
","women and children first
"
"Wonders will never cease
","wonders will never cease
","wonders will never cease
"
"Work expands so as to fill the time available
","work expands so as to fill the time available
","clerk expands so as to fill the time available
"
"Worrying never did anyone any good
","worrying never did anyone any good
","worrying never did anyone any good
"
"You are never too old to learn
","you are never too old to concern
","you are never too old to learn
"
"You are what you eat
","you are what you repeat
","you are what you eat
"
"You can choose your friends but you can't choose your family
","you can choose your friends but you can't choose your family
","you can choose your friends but you can't choose your family
"
"You can have too much of a good thing
","you can have too much of a good wing
","you can have too much of a good spring
"
"You can lead a horse to water, but you can't make it drink
","you can lead a force to water, but you can't make it drink
","you can lead a course to water, but you can't make it drink
"
"You can't have your cake and eat it
","you can't have your shake and eat it
","you can't have your brake and eat it
"
"You can't get blood out of a stone
","you can't get blood out of a prone
","you can't get blood out of a bone
"
"You can't get blood out of a turnip
","you can't get blood out of a turnip
","you can't get blood out of a turnip
"
"You can't make a silk purse from a sow's ear
","you can't make a silk purse from a sow's ear
","you can't make a milk purse from a sow's ear
"
"You can't make an omelette without breaking eggs
","you can't make an omelette without breaking eggs
","you can't make an omelette without breaking eggs
"
"You can't make bricks without straw
","you can't make fix without straw
","you can't make bricks without straw
"
"You can't run with the hare and hunt with the hounds
","you can't run with the prepare and hunt with the hounds
","you can't run with the affair and hunt with the hounds
"
"You can't take it with you [when you die]
","you can't take it with you [when you die]
","you can't take it with you [when you die]
"
"You can't teach an old dog new tricks
","you can't teach an old log new tricks
","you can't teach an old fog new tricks
"
"You can't judge a book by its cover
","you can't judge a look by its cover
","you can't judge a cook by its cover
"
"You can't win them all
","you can't win them fall
","you can't win them all
"
"You catch more flies with honey than with vinegar
","you catch more comprise with honey than with vinegar
","you catch more flies with honey than with vinegar
"
"You pays your money and you takes your choice
","you pays your honey and you takes your choice
","you pays your honey and you takes your choice
"
"You reap what you sow
","you reap what you how
","you reap what you sow
"
"You win some, you lose some
","you win thumb, you lose thumb
","you win some, you lose some
"
"Youth is wasted on the young
","tooth is wasted on the young
","truth is wasted on the young
"
"Wisdom comes with age
","wisdom comes with age
","wisdom comes with age
"
"Veni, vidi, vici: I came, I saw, I conquered.
","veni, vidi, vici: i came, i saw, i conquered.
","veni, vidi, vici: i came, i saw, i conquered.
"
"All the world's a stage.
","all the world's a stage.
","all the world's a stage.
"
