proverbs578,proverbs578_modified_criteria_0,proverbs578_modified_criteria_1
"Many are called but few are chosen
","many are called but few are chosun
","many are called but few are zosen
"
"Many hands make light work
","many hands make light erck
","many hands make light berch
"
"March comes in like a lion, and goes out like a lamb
","march comes in like a uruguayan, and goes out like a lamb
","march comes in like a brion, and goes out like a lamb
"
"March winds and April showers bring forth May flowers
","march rescinds and april showers bring forth may flowers
","march hindes and april showers bring forth may flowers
"
"Marriages are made in heaven
","marriages are made in seven
","marriages are made in beavan
"
"Marry in haste, repent at leisure
","marry in placed, repent at leisure
","marry in aist, repent at leisure
"
"Might is right
","might is blight
","might is alright
"
"Mighty oaks from little acorns grow
","mighty oaks from little acorn's grow
","mighty oaks from little acorn's grow
"
"Misery loves company
","misery loves ozzie
","misery loves ability
"
"Moderation in all things
","moderation in all springs
","moderation in all brings
"
"Monday's child is fair of face, 
","monday's schild is fair of face, 
","monday's mild is fair of face, 
"
"Tuesday's child is full of grace,
","tuesday's compiled is full of grace,
","tuesday's mild is full of grace,
"
"Wednesday's child is full of woe,
","wednesday's filed is full of woe,
","wednesday's mild is full of woe,
"
"Thursday's child has far to go,
","thursday's beguiled has far to go,
","thursday's mild has far to go,
"
"Friday's child is loving and giving,
","friday's beguiled is loving and giving,
","friday's mild is loving and giving,
"
"Saturday's child works hard for its living,
","saturday's beguiled works hard for its living,
","saturday's mild works hard for its living,
"
"And a child that's born on the Sabbath day
","and a child that's born on the sabbath day
","and a child that's born on the sabbath day
"
"Is fair and wise and good and gay.
","is fair and wise and good and jose.
","is fair and wise and good and a..
"
"Money doesn't grow on trees
","money doesn't grow on klees
","money doesn't grow on )un-parentheses
"
"Money is the root of all evil
","money is the groot of all evil
","money is the astute of all evil
"
"Money isn't everything
","money isn't anything
","money isn't anything
"
"Money makes the world go round
","money makes the whirled go round
","money makes the neworld go round
"
"Money talks
","money vaux
","money balks
"
"More haste, less speed
","more haste, less proceed
","more haste, less bead
"
"Music has charms to soothe the savage breast
","music has charms to soothe the savage breast
","music has charms to soothe the savage breast
"
"Nature abhors a vacuum
","nature abhors a vacuum
","nature abhors a vacuum
"
"Necessity is the mother of invention
","necessity is the uther of invention
","necessity is the brother of invention
"
"Needs must when the devil drives
","needs must when the bevel drives
","needs must when the bedevil drives
"
"Ne'er cast a clout till May be out
","ne'er cast a clout isbill may be out
","ne'er cast a clout abril may be out
"
"Never give a sucker an even break
","never give a sucker an even retake
","never give a sucker an even hake
"
"Never go to bed on an argument
","never go to bed on an argument
","never go to bed on an argument
"
"Never judge a book by its cover
","never judge a snook by its cover
","never judge a betook by its cover
"
"Never let the sun go down on your anger
","never let the sun go down on your bangor
","never let the sun go down on your bangor
"
"Never look a gift horse in the mouth
","never look a gift gift-horse in the mouth
","never look a gift borse in the mouth
"
"Never put off until tomorrow what you can do today
","never put off until tomorrow what you can do delray
","never put off until tomorrow what you can do a.
"
"Never speak ill of the dead
","never speak bill of the dead
","never speak abril of the dead
"
"Never tell tales out of school
","never tell tales out of ruhul
","never tell tales out of apostolopoul
"
"Nine tailors make a man
","nine tailors make a beaudin
","nine tailors make a ane
"
"No man can serve two masters
","no man can serve two pilasters
","no man can serve two asters
"
"No man is an island
","no man is an weiland
","no man is an byland
"
"No names, no pack-drill
","no names, no pack-drill
","no names, no pack-drill
"
"No news is good news
","no shmooze is good shmooze
","no abuse is good abuse
"
"No one can make you feel inferior without your consent
","no one can make you feel inferior without your prevent
","no one can make you feel inferior without your accent
"
"No pain, no gain
","no pain, no shaine
","no pain, no aine
"
"No rest for the wicked
","no reassessed for the wicked
","no arrest for the wicked
"
"Nothing new under the sun
","nothing new under the thrun
","nothing new under the aslan
"
"Nothing is certain but death and taxes
","nothing is certain but peth and taxes
","nothing is certain but breath and taxes
"
"Nothing succeeds like success
","nothing succeeds like express'
","nothing succeeds like abs
"
"Nothing ventured, nothing gained
","nothing ventured, nothing gained
","nothing ventured, nothing gained
"
"Oil and water don't mix
","oil and straughter don't mix
","oil and boughter don't mix
"
"Old soldiers never die, they just fade away
","old soldier's never die, they just fade away
","old folgers never die, they just fade away
"
"Once a thief, always a thief
","once a graef, always a graef
","once a beef, always a beef
"
"Once bitten, twice shy
","once bitten, twice wrye
","once bitten, twice ai
"
"One good turn deserves another
","one good erne deserves another
","one good adjourn deserves another
"
"One half of the world does not know how the other half lives
","one half of the hurled does not know how the other half lives
","one half of the neworld does not know how the other half lives
"
"One hand washes the other
","one manned washes the other
","one band washes the other
"
"One man's meat is another man's poison
","one man's elite is another man's poison
","one man's amit is another man's poison
"
"One might as well be hanged for a sheep as a lamb
","one might as well be hanged for a bopeep as a lamb
","one might as well be hanged for a beep as a lamb
"
"One law for the rich and another for the poor
","one graw for the rich and another for the poor
","one aw for the rich and another for the poor
"
"One swallow does not make a summer
","one swallow does not make a dummer
","one swallow does not make a brummer
"
"One volunteer is worth ten pressed men
","one volunteer is worth vannguyen pressed men
","one volunteer is worth (paren pressed men
"
"One year's seeding makes seven years weeding
","one year's succeeding makes seven years weeding
","one year's weeding makes seven years weeding
"
"Only fools and horses work
","only fools and horse's work
","only fools and courses work
"
"Opportunity never knocks twice at any man's door
","opportunity never knocks twice at any outran's door
","opportunity never knocks twice at any ane's door
"
"Opposites attract
","opposites attract
","opposites attract
"
"Out of sight, out of mind
","out of sight, out of freind
","out of sight, out of bind
"
"Parsley seed goes nine times to the Devil
","parsley saeed goes nine times to the devil
","parsley bead goes nine times to the devil
"
"Patience is a virtue
","patience is a virtue
","patience is a virtue
"
"Pearls of wisdom
","pearls of wisdom
","pearls of wisdom
"
"Penny wise and pound foolish
","penny tsai's and pound foolish
","penny advise and pound foolish
"
"People who live in glass houses shouldn't throw stones
","people who live in pass houses shouldn't throw stones
","people who live in amass houses shouldn't throw stones
"
"Physician, heal thyself
","patrician, heal thyself
","abolition, heal thyself
"
"Possession is nine points of the law
","possession is nine datapoints of the law
","possession is nine appoints of the law
"
"Power corrupts; absolute power corrupts absolutely
","power disrupts; absolute power disrupts absolutely
","power disrupts; absolute power disrupts absolutely
"
"Practice makes perfect
","practice makes disconnect
","practice makes becht
"
"Practice what you preach
","malpractice what you preach
","malpractice what you preach
"
"Prevention is better than cure
","prevention is better than lumpur
","prevention is better than allure
"
"Pride goes before a fall
","pride goes before a fairall
","pride goes before a appall
"
"Procrastination is the thief of time
","procrastination is the aperitif of time
","procrastination is the beef of time
"
"Put your best foot forward
","put your best foot dorward
","put your best foot straightforward
"
"Rain before seven, fine before eleven
","rain before seven, fine before evan
","rain before seven, fine before beavan
"
"Red sky at night shepherd's delight; red sky in the morning, shepherd's warning
","red sky at whyte shepherd's delight; red sky in the morning, shepherd's warning
","red sky at beit shepherd's delight; red sky in the morning, shepherd's warning
"
"Revenge is a dish best served cold
","revenge is a dish best served twofold
","revenge is a dish best served bold
"
"Revenge is sweet
","klenge is sweet
","avenge is sweet
"
"Rob Peter to pay Paul
","rob skeeter to pay paul
","rob beater to pay paul
"
"Rome wasn't built in a day
","rome wasn't built in a flay
","rome wasn't built in a a.
"
"See a pin and pick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day
","see a pin and wick it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day
","see a pin and afflik it up, all the day you'll have good luck; see a pin and let it lie, bad luck you'll have all day
"
"See no evil, hear no evil, speak no evil
","see no keevil, hear no keevil, speak no keevil
","see no keevil, hear no keevil, speak no keevil
"
"Seeing is believing
","skiing is believing
","wellbeing is believing
"
"Seek and ye shall find
","shriek and ye shall find
","angelique and ye shall find
"
"Set a thief to catch a thief
","set a grefe to catch a grefe
","set a beef to catch a beef
"
"Share and share alike
","khmer and khmer alike
","abair and abair alike
"
"Shrouds have no pockets
","shrouds have no rocket's
","shrouds have no dockets
"
"Silence is golden
","silence is golden
","silence is golden
"
"Slow but sure
","slow but obscure
","slow but assure
"
"Softly, softly, catchee monkey
","softly, softly, catchee punky
","softly, softly, catchee chunky
"
"Spare the rod and spoil the child
","spare the rod and spoil the mild
","spare the rod and spoil the mild
"
"Speak as you find
","chic as you find
","angelique as you find
"
"Speak softly and carry a big stick
","speak softly and carry a big nonstick
","speak softly and carry a big afflik
"
"Sticks and stones may break my bones, but words will never hurt me
","sticks and reesjones' may break my bones, but words will never hurt me
","sticks and bemoans may break my bones, but words will never hurt me
"
"Still waters run deep
","still mcwaters run deep
","still daughters run deep
"
"Strike while the iron is hot
","strike while the iron is hot
","strike while the iron is hot
"
"Stupid is as stupid does
","stupid is as stupid does
","stupid is as stupid does
"
"Success has many fathers, while failure is an orphan
","success has many bothers, while failure is an orphan
","success has many bothers, while failure is an orphan
"
"Take care of the pence and the pounds will take care of themselves
","take care of the expense and the pounds will take care of themselves
","take care of the bence and the pounds will take care of themselves
"
"Talk is cheap
","valk is cheap
","balk is cheap
"
"Talk of the Devil, and he is bound to appear
","talk of the bevel, and he is bound to appear
","talk of the bedevil, and he is bound to appear
"
"Tell the truth and shame the Devil
","tell the truth and shame the dishevel
","tell the truth and shame the bedevil
"
"That which does not kill us makes us stronger
","that which does not kill us makes us longer
","that which does not kill us makes us longer
"
"The age of miracles is past
","the age of miracles is past
","the age of miracles is past
"
"The apple never falls far from the tree
","the apple never falls far from the tv
","the apple never falls far from the abductee
"
"The best defence is a good offence
","the best defence is a good offence
","the best defence is a good offence
"
"The best is the enemy of the good
","the best is the archenemy of the good
","the best is the archenemy of the good
"
"The best-laid schemes of mice and men gang aft agley
","the best-laid schemes of pryce and men gang aft agley
","the best-laid schemes of kies and men gang aft agley
"
"The best things in life are free
","the best things in streiff are free
","the best things in fife are free
"
"The bigger, the better
","the bigger, the fretter
","the bigger, the yetter
"
"The bigger they are, the harder they fall
","the bigger they are, the marder they fall
","the bigger they are, the ardor they fall
"
"The bottom line is the bottom line
","the bottom incline is the bottom incline
","the bottom align is the bottom align
"
"The boy is father to the man
","the boy is father to the blann
","the boy is father to the ane
"
"The bread always falls buttered side down
","the bread always falls buttered plied down
","the bread always falls buttered alongside down
"
"The child is the father of the man
","the child is the strother of the man
","the child is the bother of the man
"
"The cobbler always wears the worst shoes
","the cobbler always wears the worst canoes
","the cobbler always wears the worst accrues
"
"The course of true love never did run smooth
","the course of true deneuve never did run smooth
","the course of true belove never did run smooth
"
"The customer is always right
","the customer is always right
","the customer is always right
"
"The darkest hour is just before the dawn
","the darkest hour is just before the varnon
","the darkest hour is just before the adon
"
"The Devil finds work for idle hands to do
","the devil finds work for idle rand's to do
","the devil finds work for idle ands to do
"
"The Devil is in the details
","the devil is in the whales
","the devil is in the abimaels
"
"The Devil looks after his own
","the bedevil looks after his own
","the bedevil looks after his own
"
"The early bird catches the worm
","the early bird catches the squirm
","the early bird catches the berm
"
"The end justifies the means
","the end justifies the preteens
","the end justifies the appleans
"
"The exception which proves the rule
","the exception which proves the coole
","the exception which proves the apostolopoul
"
"The female of the species is more deadly than the male
","the female of the species' is more deadly than the male
","the female of the species' is more deadly than the male
"
"The fruit does not fall far from the tree
","the fruit does not fall far from the irve
","the fruit does not fall far from the abductee
"
"The good die young
","the good tokai young
","the good ai young
"
"The grass is always greener on the other side of the fence
","the grass is always greener on the other denied of the fence
","the grass is always greener on the other alongside of the fence
"
"The hand that rocks the cradle rules the world
","the hand that rocks the radle rules the world
","the hand that rocks the badal rules the world
"
"The husband is always the last to know
","the ex-husband is always the last to know
","the ex-husband is always the last to know
"
"The labourer is worthy of his hire
","the labourer is worthy of his attire
","the labourer is worthy of his attire
"
"The law is an ass
","the law is an vass
","the law is an bass
"
"The leopard does not change his spots
","the leopard does not change his scotts
","the leopard does not change his allots
"
"The longest journey starts with a single step
","the longest journey starts with a single yep
","the longest journey starts with a single boztepe
"
"The more the merrier
","the more the carrier
","the more the barrier
"
"The more things change, the more they stay the same
","the more things grange, the more they stay the same
","the more things ainge, the more they stay the same
"
"The only good Indian is a dead Indian
","the only good amerindian is a dead amerindian
","the only good amerindian is a dead amerindian
"
"The opera ain't over till the fat lady sings
","the opera ain't over till the fat mccrady sings
","the opera ain't over till the fat adey sings
"
"The pen is mightier than sword
","the pen is mightier than dubord
","the pen is mightier than accord
"
"The price of liberty is eternal vigilance
","the price of tomography is eternal vigilance
","the price of ability is eternal vigilance
"
"The proof of the pudding is in the eating
","the proof of the gooding is in the eating
","the proof of the wooding is in the eating
"
"The road to hell is paved with good intentions
","the road to hell is paved with good abstentions
","the road to hell is paved with good abstentions
"
"The shoemaker's son always goes barefoot
","the shoemaker's lun always goes barefoot
","the shoemaker's aslan always goes barefoot
"
"The squeaking wheel gets the grease
","the squeaking wheel gets the patese
","the squeaking wheel gets the bbc's
"
"The truth will out
","the meuth will out
","the bluth will out
"
"The wages of sin is death
","the wages of knin is death
","the wages of adin is death
"
"The way to a man's heart is through his stomach
","the way to a roxanne's heart is through his stomach
","the way to a ane's heart is through his stomach
"
"The whole is greater than the sum of the parts
","the whole is greater than the bluhm of the parts
","the whole is greater than the alum of the parts
"
"There are more ways of killing a cat than choking it with cream
","there are more ways of killing a deslatte than choking it with cream
","there are more ways of killing a arnatt than choking it with cream
"
"There are none so blind as those, that will not see
","there are jun so blind as those, that will not see
","there are aslan so blind as those, that will not see
"
"There are two sides to every question
","there are two sides to every digestion
","there are two sides to every congestion
"
"There but for the grace of God, go I
","there but for the grace of brod, go i
","there but for the grace of awad, go i
"
"There's a time and a place for everything
","there's a time and a pace for everything
","there's a time and a ace for everything
"
"There's an exception to every rule
","there's an exception to every boole
","there's an exception to every apostolopoul
"
"There's always more fish in the sea
","there's always more fish in the v
","there's always more fish in the abductee
"
"There's honour among thieves
","there's honour among retrieves
","there's honour among achieves
"
"There's many a good tune played on an old fiddle
","there's many a good tune played on an old piddle
","there's many a good tune played on an old criddle
"
"There's many a slip 'twixt cup and lip
","there's many a stipp 'twixt cup and tipp
","there's many a sbip 'twixt cup and bip
"
"There's more than one way to skin a cat
","there's more than one way to skin a spat
","there's more than one way to skin a arnatt
"
"There's no accounting for tastes
","there's no accounting for waste's
","there's no accounting for foretastes
"
"There's no fool like an old fool
","there's no boule like an old boule
","there's no apostolopoul like an old apostolopoul
"
"There's no place like home
","there's no place like loam
","there's no place like bloem
"
"There's no smoke without fire
","there's no smoke without enquire
","there's no smoke without attire
"
"There's no such thing as a free lunch
","there's no such thing as a free brunch
","there's no such thing as a free brunch
"
"There's no such thing as bad publicity
","there's no such thing as bad simplicity
","there's no such thing as bad analyticity
"
"There's no time like the present
","there's no anticrime like the present
","there's no anticrime like the present
"
"There's none so blind as those who will not see
","there's done so blind as those who will not see
","there's aslan so blind as those who will not see
"
"There's none so deaf as those who will not hear
","there's fun so deaf as those who will not hear
","there's aslan so deaf as those who will not hear
"
"There's nowt so queer as folk
","there's nowt so queer as choke
","there's nowt so queer as awoke
"
"There's one born every minute
","there's one born every pinot
","there's one born every minot
"
"There's safety in numbers
","there's safety in number's
","there's safety in outnumbers
"
"They that sow the wind, shall reap the whirlwind
","they that sow the wind, shall reap the weekend
","they that sow the wind, shall reap the headwind
"
"Third time lucky
","third climb lucky
","third anticrime lucky
"
"Those who do not learn from history are doomed to repeat it
","those who do not learn from protohistory are doomed to repeat it
","those who do not learn from mystery are doomed to repeat it
"
"Those who live in glass houses shouldn't throw stones
","those who live in glass spouses shouldn't throw stones
","those who live in glass blouses shouldn't throw stones
"
"Those who sleep with dogs will rise with fleas
","those who sleep with dogs will rise with sleaze
","those who sleep with dogs will rise with )un-parentheses
"
"Thou shalt not kill
","macao shalt not kill
","arau shalt not kill
"
"Time and tide wait for no man
","time and tide debate for no man
","time and tide abate for no man
"
"Time flies
","time size
","time allies
"
"Time is a great healer
","time is a great bieler
","time is a great bealer
"
"Time is money
","time is munni
","time is bunney
"
"Time will tell
","syme will tell
","anticrime will tell
"
"'tis better to have loved and lost, than never to have loved at all
","'tis better to have loved and lost, than never to have loved at all
","'tis better to have loved and lost, than never to have loved at all
"
"To err is human; to forgive divine
","to err is human; to forgive redesign
","to err is human; to forgive align
"
"To every thing there is a season
","to every thing there is a salvesen
","to every thing there is a beason
"
"To the victor go the spoils
","to the victor go the coils
","to the victor go the boils
"
"To travel hopefully is a better thing than to arrive
","to travel hopefully is a better xiaoping than to arrive
","to travel hopefully is a better chang-ming than to arrive
"
"Tomorrow is another day
","tomorrow is another shinsei
","tomorrow is another a.
"
"Tomorrow never comes
","moscow never comes
","aburto never comes
"
"Too many cooks spoil the broth
","too many cooks spoil the hauth
","too many cooks spoil the hauth
"
"Truth is stranger than fiction
","truth is stranger than affliction
","truth is stranger than addiction
"
"Truth will out
","meuth will out
","bluth will out
"
"Two blacks don't make a white
","two black's don't make a white
","two acts don't make a white
"
"Two heads are better than one
","two sheds are better than one
","two beds are better than one
"
"Two is company, but three's a crowd
","two is company, but three's a proud
","two is company, but three's a abboud
"
"Two wrongs don't make a right
","two wrongs don't make a macknight
","two wrongs don't make a beit
"
"Variety is the spice of life
","variety is the device of life
","variety is the advice of life
"
"Virtue is its own reward
","virtue is its own award
","virtue is its own accord
"
"Walls have ears
","walls have sneers
","walls have adheres
"
"Walnuts and pears you plant for your heirs
","walnuts and there's you plant for your heirs
","walnuts and affairs you plant for your heirs
"
"Waste not want not
","displaced not want not
","aist not want not
"
"What can't be cured must be endured
","what can't be cured must be inured
","what can't be cured must be allured
"
"What goes up must come down
","what goes up must come towne
","what goes up must come uptown
"
"What you lose on the swings you gain on the roundabouts
","what you lose on the swings you gain on the roundabouts
","what you lose on the swings you gain on the roundabouts
"
"What's sauce for the goose is sauce for the gander
","what's sauce for the derousse is sauce for the gander
","what's sauce for the abstruse is sauce for the gander
"
"When in Rome, do as the Romans do
","when in rome, do as the fomon's do
","when in rome, do as the homans do
"
"When the cat's away the mice will play
","when the cat's away the tice will play
","when the cat's away the advice will play
"
"When the going gets tough, the tough get going
","when the going cigarettes tough, the tough cigarette going
","when the going abbetts tough, the tough abbett going
"
"When the oak is before the ash, then you will only get a splash; when the ash is before the oak, then you may expect a soak
","when the oak is before the --dash, then you will only get a spl--dash; when the --dash is before the oak, then you may expect a soak
","when the oak is before the -dash, then you will only get a spl-dash; when the -dash is before the oak, then you may expect a soak
"
"What the eye doesn't see, the heart doesn't grieve over
","what the eye doesn't see, the descartes doesn't grieve over
","what the eye doesn't see, the bossart doesn't grieve over
"
"Where there's a will there's a way
","where there's a will there's a communique
","where there's a will there's a a.
"
"Where there's muck there's brass
","where there's muck there's pass
","where there's muck there's amass
"
"While there's life there's hope
","while there's life there's swope
","while there's life there's bronchoscope
"
"Whom the Gods love die young
","whom the gods love sligh young
","whom the gods love ai young
"
"Why keep a dog and bark yourself?
","why keep a log and bark yourself?
","why keep a blog and bark yourself?
"
"Women and children first
","women and stepchildren first
","women and stepchildren first
"
"Wonders will never cease
","funders will never cease
","blunders will never cease
"
"Work expands so as to fill the time available
","work expands so as to fill the dime available
","work expands so as to fill the anticrime available
"
"Worrying never did anyone any good
","worrying never did shotgun any good
","worrying never did blowgun any good
"
"You are never too old to learn
","you are never too old to hern
","you are never too old to zurn
"
"You are what you eat
","you are what you sweet
","you are what you wheat
"
"You can choose your friends but you can't choose your family
","you can choose your friends but you can't choose your multifamily
","you can choose your friends but you can't choose your multifamily
"
"You can have too much of a good thing
","you can have too much of a good ning
","you can have too much of a good chang-ming
"
"You can lead a horse to water, but you can't make it drink
","you can lead a horse to straughter, but you can't make it drink
","you can lead a horse to boughter, but you can't make it drink
"
"You can't have your cake and eat it
","you can't have your cake and swete it
","you can't have your cake and amit it
"
"You can't get blood out of a stone
","you can't get blood out of a bourguignon
","you can't get blood out of a arone
"
"You can't get blood out of a turnip
","you can't get blood out of a burnap
","you can't get blood out of a burnap
"
"You can't make a silk purse from a sow's ear
","you can't make a silk diverse from a sow's ear
","you can't make a silk averse from a sow's ear
"
"You can't make an omelette without breaking eggs
","you can't make an omelette without breaking meggs
","you can't make an omelette without breaking beggs
"
"You can't make bricks without straw
","you can't make bricks without guffaw
","you can't make bricks without aw
"
"You can't run with the hare and hunt with the hounds
","you can't run with the hare and affront with the hounds
","you can't run with the hare and blunt with the hounds
"
"You can't take it with you [when you die]
","you can't take it with you [when you die]
","you can't take it with you [when you die]
"
"You can't teach an old dog new tricks
","you can't teach an old dog new wix
","you can't teach an old dog new bricks
"
"You can't judge a book by its cover
","you can't judge a book by its discover
","you can't judge a book by its rediscover
"
"You can't win them all
","you can't win them mccall
","you can't win them engwall
"
"You catch more flies with honey than with vinegar
","you catch more flies with runny than with vinegar
","you catch more flies with bunney than with vinegar
"
"You pays your money and you takes your choice
","you pays your money and you takes your duboise
","you pays your money and you takes your alois
"
"You reap what you sow
","you reap what you qiao
","you reap what you powe
"
"You win some, you lose some
","you win become, you lose become
","you win yum, you lose yum
"
"Youth is wasted on the young
","huth is wasted on the young
","bluth is wasted on the young
"
"Wisdom comes with age
","wisdom comes with upstage
","wisdom comes with assuage
"
"Veni, vidi, vici: I came, I saw, I conquered.
","veni, vidi, vici: i came, i saw, i conquered.
","veni, vidi, vici: i came, i saw, i conquered.
"
"All the world's a stage.
","all the world's a wrage.
","all the world's a age.
"
